on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
10-May-2023,"8,094.74","6,261.61","1,833.13","5,061.73","5,851.40",-789.67,cash
09-May-2023,"9,375.35","7,433.16","1,942.19","7,148.35","6,743.65",404.7,cash
08-May-2023,"8,705.37","6,581.61","2,123.76","6,252.52","6,007.25",245.27,cash
05-May-2023,"8,242.95","7,465.27",777.68,"4,956.49","7,155.26","-2,198.77",cash
04-May-2023,"7,311.04","5,896.31","1,414.73","5,611.15","5,169.59",441.56,cash
03-May-2023,"7,498.83","6,160.83","1,338.00","5,390.76","5,974.75",-583.99,cash
02-May-2023,"9,972.50","7,975.15","1,997.35","5,649.54","6,043.59",-394.05,cash
28-Apr-2023,"13,577.29","10,272.97","3,304.32","6,319.21","6,054.94",264.27,cash
27-Apr-2023,"7,139.97","5,487.02","1,652.95","5,638.01","5,540.94",97.07,cash
26-Apr-2023,"7,813.62","6,556.14","1,257.48","5,220.23","5,448.11",-227.88,cash
25-Apr-2023,"9,244.21","9,651.56",-407.35,"6,547.47","5,983.86",563.61,cash
24-Apr-2023,"6,218.80","6,631.07",-412.27,"6,138.64","4,961.46","1,177.18",cash
21-Apr-2023,"5,127.72","7,244.48","-2,116.76","5,475.84","3,843.18","1,632.66",cash
20-Apr-2023,"5,773.84","6,943.16","-1,169.32","4,753.35","3,920.63",832.72,cash
19-Apr-2023,"7,981.93","7,995.10",-13.17,"5,297.87","5,408.29",-110.42,cash
18-Apr-2023,"7,398.08","8,208.68",-810.6,"6,490.97","6,089.31",401.66,cash
17-Apr-2023,"13,386.64","13,919.84",-533.2,"8,329.95","8,060.30",269.65,cash
13-Apr-2023,"8,033.11","7,811.26",221.85,"6,526.46","6,800.14",-273.68,cash
12-Apr-2023,"8,459.37","6,551.42","1,907.95","7,428.04","7,653.26",-225.22,cash
11-Apr-2023,"6,931.95","6,589.11",342.84,"7,786.89","8,050.91",-264.02,cash
10-Apr-2023,"4,057.80","3,175.28",882.52,"7,060.71","6,709.21",351.5,cash
06-Apr-2023,"5,655.59","5,179.78",475.81,"5,642.16","6,639.24",-997.08,cash
05-Apr-2023,"7,383.80","6,576.98",806.82,"7,231.94","8,179.15",-947.21,cash
03-Apr-2023,"4,856.03","4,534.10",321.93,"5,195.98","5,524.22",-328.24,cash
31-Mar-2023,"11,402.22","11,044.36",357.86,"8,212.34","5,732.38","2,479.96",cash
29-Mar-2023,"9,096.96","7,851.57","1,245.39","10,196.06","9,373.07",822.99,cash
28-Mar-2023,"7,055.25","5,524.12","1,531.13","4,637.91","4,794.02",-156.11,cash
